age,age_onset,birthplace,audio_file,accent,gender,speakerid,country,city,city_nums,state,source,line_id,text,audio_duration,id,speaker,irrelevant,stereotypical,anti-stereotypical,labels,annotators
26.0,0.0,"myrtle beach, south carolina, usa",/work/bbc6523/diverse_voices/english_accent_audio/english214.mp3,english,male,737.0,usa,myrtle beach,3.0,south carolina,english_accents,,,,,,,,,,
63.0,0.0,"boston, massachusetts, usa",/work/bbc6523/diverse_voices/english_accent_audio/english203.mp3,english,female,674.0,usa,boston,3.0,massachusetts,english_accents,,,,,,,,,,
63.0,0.0,"syracuse, new york, usa",/work/bbc6523/diverse_voices/english_accent_audio/english53.mp3,english,male,114.0,usa,syracuse,3.0,new york,english_accents,,,,,,,,,,
23.0,0.0,"wilkes-barre, pennsylvania, usa",/work/bbc6523/diverse_voices/english_accent_audio/english207.mp3,english,female,684.0,usa,wilkes-barre,3.0,pennsylvania,english_accents,,,,,,,,,,
23.0,0.0,"laurinburg, north carolina, usa",/work/bbc6523/diverse_voices/english_accent_audio/english256.mp3,english,male,861.0,usa,laurinburg,3.0,north carolina,english_accents,,,,,,,,,,
37.0,0.0,"boston, massachusetts, usa",/work/bbc6523/diverse_voices/english_accent_audio/english21.mp3,english,female,79.0,usa,boston,3.0,massachusetts,english_accents,,,,,,,,,,
37.0,0.0,"carthage, missouri, usa",/work/bbc6523/diverse_voices/english_accent_audio/english351.mp3,english,male,1242.0,usa,carthage,3.0,missouri,english_accents,,,,,,,,,,
48.0,0.0,"chicago, illinois, usa",/work/bbc6523/diverse_voices/english_accent_audio/english216.mp3,english,female,739.0,usa,chicago,3.0,illinois,english_accents,,,,,,,,,,
48.0,0.0,"alexandria, va, usa",/work/bbc6523/diverse_voices/english_accent_audio/english307.mp3,english,male,1100.0,usa,alexandria,3.0,va,english_accents,,,,,,,,,,
27.0,0.0,"abingdon, virginia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english218.mp3,english,female,747.0,usa,abingdon,3.0,virginia,english_accents,,,,,,,,,,
27.0,0.0,"mcminnville, oregon, usa",/work/bbc6523/diverse_voices/english_accent_audio/english369.mp3,english,male,1297.0,usa,mcminnville,3.0,oregon,english_accents,,,,,,,,,,
38.0,0.0,"oakland, california, usa",/work/bbc6523/diverse_voices/english_accent_audio/english219.mp3,english,female,748.0,usa,oakland,3.0,california,english_accents,,,,,,,,,,
38.0,0.0,"dodge city, kansas, usa",/work/bbc6523/diverse_voices/english_accent_audio/english213.mp3,english,male,734.0,usa,dodge city,3.0,kansas,english_accents,,,,,,,,,,
18.0,0.0,"anaheim, california, usa",/work/bbc6523/diverse_voices/english_accent_audio/english220.mp3,english,female,749.0,usa,anaheim,3.0,california,english_accents,,,,,,,,,,
18.0,0.0,"erie, pennsylvania, usa",/work/bbc6523/diverse_voices/english_accent_audio/english223.mp3,english,male,767.0,usa,erie,3.0,pennsylvania,english_accents,,,,,,,,,,
18.0,0.0,"auburn, indiana, usa",/work/bbc6523/diverse_voices/english_accent_audio/english222.mp3,english,female,764.0,usa,auburn,3.0,indiana,english_accents,,,,,,,,,,
18.0,0.0,"san diego, california, usa",/work/bbc6523/diverse_voices/english_accent_audio/english266.mp3,english,male,899.0,usa,san diego,3.0,california,english_accents,,,,,,,,,,
32.0,0.0,"metairie, louisiana, usa",/work/bbc6523/diverse_voices/english_accent_audio/english232.mp3,english,female,798.0,usa,metairie,3.0,louisiana,english_accents,,,,,,,,,,
32.0,0.0,"honolulu, hawaii, usa",/work/bbc6523/diverse_voices/english_accent_audio/english193.mp3,english,male,637.0,usa,honolulu,3.0,hawaii,english_accents,,,,,,,,,,
26.0,0.0,"edmonton, alberta, canada",/work/bbc6523/diverse_voices/english_accent_audio/english233.mp3,english,female,793.0,canada,edmonton,3.0,alberta,english_accents,,,,,,,,,,
26.0,0.0,"guelph, ontario, canada",/work/bbc6523/diverse_voices/english_accent_audio/english240.mp3,english,male,815.0,canada,guelph,3.0,ontario,english_accents,,,,,,,,,,
52.0,0.0,"richmond, virginia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english235.mp3,english,female,795.0,usa,richmond,3.0,virginia,english_accents,,,,,,,,,,
52.0,0.0,"brooklyn, new york, usa",/work/bbc6523/diverse_voices/english_accent_audio/english321.mp3,english,male,1163.0,usa,brooklyn,3.0,new york,english_accents,,,,,,,,,,
22.0,0.0,"jeffersonville, ohio, usa",/work/bbc6523/diverse_voices/english_accent_audio/english237.mp3,english,female,801.0,usa,jeffersonville,3.0,ohio,english_accents,,,,,,,,,,
22.0,0.0,"orange beach, alabama, usa",/work/bbc6523/diverse_voices/english_accent_audio/english135.mp3,english,male,507.0,usa,orange beach,3.0,alabama,english_accents,,,,,,,,,,
18.0,0.0,"philadelphia, pennsylvania, usa",/work/bbc6523/diverse_voices/english_accent_audio/english248.mp3,english,female,840.0,usa,philadelphia,3.0,pennsylvania,english_accents,,,,,,,,,,
18.0,0.0,"pelham, new york, usa",/work/bbc6523/diverse_voices/english_accent_audio/english283.mp3,english,male,951.0,usa,pelham,3.0,new york,english_accents,,,,,,,,,,
25.0,0.0,"san jose ca, california, usa",/work/bbc6523/diverse_voices/english_accent_audio/english252.mp3,english,female,856.0,usa,san jose ca,3.0,california,english_accents,,,,,,,,,,
25.0,0.0,"burlington, vermont, usa",/work/bbc6523/diverse_voices/english_accent_audio/english229.mp3,english,male,775.0,usa,burlington,3.0,vermont,english_accents,,,,,,,,,,
18.0,0.0,"phoenix, arizona, usa",/work/bbc6523/diverse_voices/english_accent_audio/english260.mp3,english,female,871.0,usa,phoenix,3.0,arizona,english_accents,,,,,,,,,,
18.0,0.0,"portland, maine, usa",/work/bbc6523/diverse_voices/english_accent_audio/english466.mp3,english,male,1637.0,usa,portland,3.0,maine,english_accents,,,,,,,,,,
22.0,0.0,"adelaide, australia",/work/bbc6523/diverse_voices/english_accent_audio/english269.mp3,english,female,902.0,australia,adelaide,2.0,none,english_accents,,,,,,,,,,
22.0,0.0,"lismore, new south wales, australia",/work/bbc6523/diverse_voices/english_accent_audio/english298.mp3,english,male,1072.0,australia,lismore,3.0,new south wales,english_accents,,,,,,,,,,
37.0,0.0,"smith island, maryland, usa",/work/bbc6523/diverse_voices/english_accent_audio/english27.mp3,english,female,85.0,usa,smith island,3.0,maryland,english_accents,,,,,,,,,,
37.0,0.0,"princeton, indiana, usa",/work/bbc6523/diverse_voices/english_accent_audio/english67.mp3,english,male,129.0,usa,princeton,3.0,indiana,english_accents,,,,,,,,,,
32.0,0.0,"cape town, south africa",/work/bbc6523/diverse_voices/english_accent_audio/english271.mp3,english,female,904.0,south africa,cape town,2.0,none,english_accents,,,,,,,,,,
32.0,0.0,"port elizabeth, south africa",/work/bbc6523/diverse_voices/english_accent_audio/english130.mp3,english,male,496.0,south africa,port elizabeth,2.0,none,english_accents,,,,,,,,,,
20.0,0.0,"clifton, new jersey, usa",/work/bbc6523/diverse_voices/english_accent_audio/english275.mp3,english,female,912.0,usa,clifton,3.0,new jersey,english_accents,,,,,,,,,,
20.0,0.0,"newport, rhode island, usa",/work/bbc6523/diverse_voices/english_accent_audio/english180.mp3,english,male,585.0,usa,newport,3.0,rhode island,english_accents,,,,,,,,,,
50.0,0.0,"chattanooga, tennessee, usa",/work/bbc6523/diverse_voices/english_accent_audio/english276.mp3,english,female,918.0,usa,chattanooga,3.0,tennessee,english_accents,,,,,,,,,,
50.0,0.0,"charleston, south carolina, usa",/work/bbc6523/diverse_voices/english_accent_audio/english86.mp3,english,male,150.0,usa,charleston,3.0,south carolina,english_accents,,,,,,,,,,
18.0,0.0,"augusta, georgia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english278.mp3,english,female,921.0,usa,augusta,3.0,georgia,english_accents,,,,,,,,,,
18.0,0.0,"chesapeake, virginia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english60.mp3,english,male,122.0,usa,chesapeake,3.0,virginia,english_accents,,,,,,,,,,
21.0,0.0,"beaumont, texas, usa",/work/bbc6523/diverse_voices/english_accent_audio/english286.mp3,english,female,977.0,usa,beaumont,3.0,texas,english_accents,,,,,,,,,,
21.0,0.0,"wise, virginia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english16.mp3,english,male,73.0,usa,wise,3.0,virginia,english_accents,,,,,,,,,,
26.0,0.0,"st. louis, missouri, usa",/work/bbc6523/diverse_voices/english_accent_audio/english288.mp3,english,female,982.0,usa,st. louis,3.0,missouri,english_accents,,,,,,,,,,
26.0,0.0,"burlington, vermont, usa",/work/bbc6523/diverse_voices/english_accent_audio/english317.mp3,english,male,1132.0,usa,burlington,3.0,vermont,english_accents,,,,,,,,,,
19.0,0.0,"fairfax, virginia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english289.mp3,english,female,983.0,usa,fairfax,3.0,virginia,english_accents,,,,,,,,,,
19.0,0.0,"chicago, illinois, usa",/work/bbc6523/diverse_voices/english_accent_audio/english107.mp3,english,male,416.0,usa,chicago,3.0,illinois,english_accents,,,,,,,,,,
54.0,0.0,"lindsay, ontario, canada",/work/bbc6523/diverse_voices/english_accent_audio/english29.mp3,english,female,87.0,canada,lindsay,3.0,ontario,english_accents,,,,,,,,,,
54.0,0.0,"toronto, ontario, canada",/work/bbc6523/diverse_voices/english_accent_audio/english28.mp3,english,male,86.0,canada,toronto,3.0,ontario,english_accents,,,,,,,,,,
22.0,0.0,"billings, montana, usa",/work/bbc6523/diverse_voices/english_accent_audio/english293.mp3,english,female,1052.0,usa,billings,3.0,montana,english_accents,,,,,,,,,,
22.0,0.0,"blytheville, arkansas, usa",/work/bbc6523/diverse_voices/english_accent_audio/english146.mp3,english,male,522.0,usa,blytheville,3.0,arkansas,english_accents,,,,,,,,,,
26.0,0.0,"brisbane, australia",/work/bbc6523/diverse_voices/english_accent_audio/english3.mp3,english,female,88.0,australia,brisbane,2.0,none,english_accents,,,,,,,,,,
26.0,0.0,"melbourne, australia",/work/bbc6523/diverse_voices/english_accent_audio/english77.mp3,english,male,140.0,australia,melbourne,2.0,none,english_accents,,,,,,,,,,
44.0,0.0,"dunedin, new zealand",/work/bbc6523/diverse_voices/english_accent_audio/english309.mp3,english,female,1105.0,new zealand,dunedin,2.0,none,english_accents,,,,,,,,,,
44.0,0.0,"wellington, new zealand",/work/bbc6523/diverse_voices/english_accent_audio/english41.mp3,english,male,101.0,new zealand,wellington,2.0,none,english_accents,,,,,,,,,,
37.0,0.0,"oxford, uk",/work/bbc6523/diverse_voices/english_accent_audio/english310.mp3,english,female,1108.0,uk,oxford,2.0,none,english_accents,,,,,,,,,,
37.0,0.0,"glasgow, scotland, uk",/work/bbc6523/diverse_voices/english_accent_audio/english24.mp3,english,male,82.0,uk,glasgow,3.0,scotland,english_accents,,,,,,,,,,
38.0,0.0,"detroit, michigan, usa",/work/bbc6523/diverse_voices/english_accent_audio/english311.mp3,english,female,1110.0,usa,detroit,3.0,michigan,english_accents,,,,,,,,,,
38.0,0.0,"kansas city, missouri, usa",/work/bbc6523/diverse_voices/english_accent_audio/english292.mp3,english,male,1051.0,usa,kansas city,3.0,missouri,english_accents,,,,,,,,,,
23.0,0.0,"hollywood, florida, usa",/work/bbc6523/diverse_voices/english_accent_audio/english328.mp3,english,female,1206.0,usa,hollywood,3.0,florida,english_accents,,,,,,,,,,
23.0,0.0,"ramsey mn, minnesota, usa",/work/bbc6523/diverse_voices/english_accent_audio/english281.mp3,english,male,937.0,usa,ramsey mn,3.0,minnesota,english_accents,,,,,,,,,,
21.0,0.0,"boise, idaho, usa",/work/bbc6523/diverse_voices/english_accent_audio/english329.mp3,english,female,1207.0,usa,boise,3.0,idaho,english_accents,,,,,,,,,,
21.0,0.0,"st. louis, missouri, usa",/work/bbc6523/diverse_voices/english_accent_audio/english171.mp3,english,male,563.0,usa,st. louis,3.0,missouri,english_accents,,,,,,,,,,
18.0,0.0,"augusta, georgia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english330.mp3,english,female,1208.0,usa,augusta,3.0,georgia,english_accents,,,,,,,,,,
18.0,0.0,"grand rapids, michigan, usa",/work/bbc6523/diverse_voices/english_accent_audio/english88.mp3,english,male,152.0,usa,grand rapids,3.0,michigan,english_accents,,,,,,,,,,
28.0,0.0,"perth, australia",/work/bbc6523/diverse_voices/english_accent_audio/english331.mp3,english,female,1209.0,australia,perth,2.0,none,english_accents,,,,,,,,,,
28.0,0.0,"st. george, queensland, australia",/work/bbc6523/diverse_voices/english_accent_audio/english125.mp3,english,male,485.0,australia,st. george,3.0,queensland,english_accents,,,,,,,,,,
20.0,0.0,"baltimore, maryland, usa",/work/bbc6523/diverse_voices/english_accent_audio/english332.mp3,english,female,1212.0,usa,baltimore,3.0,maryland,english_accents,,,,,,,,,,
20.0,0.0,"dallas, texas, usa",/work/bbc6523/diverse_voices/english_accent_audio/english272.mp3,english,male,905.0,usa,dallas,3.0,texas,english_accents,,,,,,,,,,
32.0,0.0,"spokane, washington, usa",/work/bbc6523/diverse_voices/english_accent_audio/english333.mp3,english,female,1214.0,usa,spokane,3.0,washington,english_accents,,,,,,,,,,
32.0,0.0,"los angeles, california, usa",/work/bbc6523/diverse_voices/english_accent_audio/english246.mp3,english,male,825.0,usa,los angeles,3.0,california,english_accents,,,,,,,,,,
18.0,0.0,"derby, england, uk",/work/bbc6523/diverse_voices/english_accent_audio/english334.mp3,english,female,1215.0,uk,derby,3.0,england,english_accents,,,,,,,,,,
18.0,0.0,"bury st. edmunds, uk",/work/bbc6523/diverse_voices/english_accent_audio/english145.mp3,english,male,521.0,uk,bury st. edmunds,2.0,none,english_accents,,,,,,,,,,
46.0,0.0,"baltimore, maryland, usa",/work/bbc6523/diverse_voices/english_accent_audio/english336.mp3,english,female,1217.0,usa,baltimore,3.0,maryland,english_accents,,,,,,,,,,
46.0,0.0,"washington, dc, usa",/work/bbc6523/diverse_voices/english_accent_audio/english208.mp3,english,male,695.0,usa,washington,3.0,dc,english_accents,,,,,,,,,,
18.0,0.0,"ronkonkoma, new york, usa",/work/bbc6523/diverse_voices/english_accent_audio/english34.mp3,english,female,93.0,usa,ronkonkoma,3.0,new york,english_accents,,,,,,,,,,
18.0,0.0,"kingston ma, massachusetts, usa",/work/bbc6523/diverse_voices/english_accent_audio/english89.mp3,english,male,153.0,usa,kingston ma,3.0,massachusetts,english_accents,,,,,,,,,,
23.0,0.0,"new york, new york, usa",/work/bbc6523/diverse_voices/english_accent_audio/english341.mp3,english,female,1224.0,usa,new york,3.0,new york,english_accents,,,,,,,,,,
23.0,0.0,"portland, maine, usa",/work/bbc6523/diverse_voices/english_accent_audio/english343.mp3,english,male,1226.0,usa,portland,3.0,maine,english_accents,,,,,,,,,,
19.0,0.0,"lumberton, north carolina, usa",/work/bbc6523/diverse_voices/english_accent_audio/english344.mp3,english,female,1232.0,usa,lumberton,3.0,north carolina,english_accents,,,,,,,,,,
19.0,0.0,"akron, ohio, usa",/work/bbc6523/diverse_voices/english_accent_audio/english118.mp3,english,male,446.0,usa,akron,3.0,ohio,english_accents,,,,,,,,,,
22.0,0.0,"burnsville, minnesota, usa",/work/bbc6523/diverse_voices/english_accent_audio/english347.mp3,english,female,1236.0,usa,burnsville,3.0,minnesota,english_accents,,,,,,,,,,
22.0,0.0,"iowa city, iowa, usa",/work/bbc6523/diverse_voices/english_accent_audio/english197.mp3,english,male,662.0,usa,iowa city,3.0,iowa,english_accents,,,,,,,,,,
24.0,0.0,"warrenton, virginia, usa",/work/bbc6523/diverse_voices/english_accent_audio/english349.mp3,english,female,1239.0,usa,warrenton,3.0,virginia,english_accents,,,,,,,,,,
