Unnamed: 0,id,contents,length,language,answer
10,40275,Dr Kanton Guémené-sur-Scorff isch bis Merz 2015 e Kanton im Arrondissement Pontivy im franzesische Département Morbihan in dr Region Bretagne gsii. Dr Hauptort isch Guémené-sur-Scorff gsii. Verdrätter im conseil général vum Département isch bis 2015 dr Jean-Jacques Tromilin gsii. Zum 22. Merz 2015 isch dr Kanton ufglest wore. Zum Kanton hän zeh Gmaine ghert:,360,als,['Der Kanton Guémené-sur-Scorff war bis März 2015 ein Kanton im Arrondissement Pontivy im französischen Département Morbihan in der Region Bretagne. Der Hauptort war Guémené-sur-Scorff. Vertreter im conseil général des Départements war bis 2015 der Jean-Jacques Tromilin. Zum 22. März 2015 wurde der Kanton aufgelöst. Zum Kanton gehörten zehn Gemeinden:']
11,42158,"Mississippi stoot für: Mississippi River, e Fluss in de Veräinigte Staate Mississippi (Bundesstaat), e Bundesstaat vo de Veräinigte Staate Mississippi River (Ontario), e Fluss z Kanada Mississippi County (Arkansas), e County z Arkansas in de Veräinigte Staate Mississippi County (Missouri), e County z Missouri in de Veräinigte Staate",334,als,"['Mississippi steht für: Mississippi River, ein Fluss in den Vereinigten Staaten Mississippi (Bundesstaat), ein Bundesstaat der Vereinigten Staaten Mississippi River (Ontario), ein Fluss in Kanada Mississippi County (Arkansas), ein County in Arkansas in den Vereinigten Staaten Mississippi County (Missouri), ein County in Missouri in den Vereinigten Staaten']"
12,52778,"Botafogo Futebol Clube isch ä Fuesballverein in da brasilianischa Stadt João Pessoa. Staatsmeischter vo Paraíba (27) 1936, 1937, 1938, 1944, 1945, 1947, 1948, 1949, 1953, 1954, 1955, 1957, 1968, 1969, 1970, 1975, 1976, 1977, 1978, 1984, 1986, 1988, 1998, 1999, 2003, 2013, 2014 Botafogo' Offizielli Websyte (Site cha nüme abgrüeft wärde; Suche im Webarchiv)[1] [2] Vorlage:Toter Link/www.botafogodaparaiba",405,als,"['Botafogo Futebol Clube ist ein Fußballverein in der brasilianischen Stadt João Pessoa. Staatsmeister von Paraíba (27) 1936, 1937, 1938, 1944, 1945, 1947, 1948, 1949, 1953, 1954, 1955, 1957, 1968, 1969, 1970, 1975, 1976, 1977, 1978, 1984, 1986, 1988, 1998, 1999, 2003, 2013, 2014 Botafogo. Offizielle Website (Site kann nicht mehr abgerufen werden; Suche im Webarchiv)[1] [2] Vorlage:Toter Link/www.botafogodaparaiba']"
13,80539,"Twerenbold isch e Familiename. Bekanti Lüüt sind: Hansrudolf Twerenbold (* 1939), Schwiizer Schauspiiler Maurus Twerenbold (* 1988), Schwiizer Jazzmusiker Paul Twerenbold (* 1946), Schwiizer Politiker Werner Twerenbold (1946–2015), Schwiizer Undernäämer Twerenbold isch vo do häär au dr Naame von ere Firma: Twerenbold Service, Schwiizer Reiseundernääme",353,als,"['Twerenbold ist ein Familienname. Bekannte Personen sind: Hansrudolf Twerenbold (* 1939), Schweizer Schauspieler Maurus Twerenbold (* 1988), Schweizer Jazzmusiker Paul Twerenbold (* 1946), Schweizer Politiker Werner Twerenbold (1946–2015), Schweizer Unternehmer Twerenbold ist auch der Name eines Unternehmens: Twerenbold Service, Schweizer Reiseunternehmen.']"
14,62401,D Quimper Communauté (bretonisch Kemper Kumuniezh) isch bis 2016 e franzesischi Communauté d’agglomération im Département Finistère in dr Region Bretagne gsii. Dr Gmaiverband isch am 28. Dezämber 1999 grindet wore un us acht Gmaine bstande. Dr Verwaltigssitz isch z Quimper gsii. Bresidänt isch dr Ludovic Jolivet gsii. Zum Kommunalverband hän die Gmaine ghert: Ergué-Gabéric Guengat Locronan Plogonnec Plomelin Plonéis Pluguffan Quimper http://www.quimper-communaute.fr,470,als,"['Die Quimper Communauté (bretonisch Kemper Kumuniezh) war bis 2016 ein französischer Gemeindeverband mit der Rechtsform einer Communauté d’agglomération im Département Finistère in der Region Bretagne. Der Gemeindeverband wurde am 28. Dezember 1999 gegründet und bestand aus acht Gemeinden. Der Verwaltungssitz befand sich in Quimper. Präsident war Ludovic Jolivet. Zum Gemeindeverband gehörten die Gemeinden: Ergué-Gabéric, Guengat, Locronan, Plogonnec, Plomelin, Plonéis, Pluguffan und Quimper. http://www.quimper-communaute.fr']"
15,87437,"Dr Edgar de Wahl (* 23. August 1867 z Olwiopol (hüt z Perwomajsk, Ukraine); † 9. März 1948 z Tallinn) isch e baltisch-dütscher Lehrer, Mathematiker und Linguist gsi. Er isch vor allem bekannt als Schöpfer vo 'Interlingue' (das er sy ganzs Läbe lang 'Occidental' gnännt het), e natürlichi Kunstsprach, wo uf de indogermanische Sprache basiert und zum erschte Mol 1922 veröffentlicht worde isch.",393,als,"['Der Edgar de Wahl (* 23. August 1867 in Olwiopol (heute Perwomajsk, Ukraine); † 9. März 1948 in Tallinn) war ein baltisch-deutscher Lehrer, Mathematiker und Linguist. Er ist vor allem bekannt als Schöpfer von ""Interlingue"" (das er sein ganzes Leben lang ""Occidental"" genannt hat), einer natürlichen Kunstsprache, die auf den indogermanischen Sprachen basiert und zum ersten Mal 1922 veröffentlicht wurde.']"
16,60418,"Hutzel chan folgendes bedüte: Hutzel, es Synonym für e Hutzla, Kletze, Holz- oder Dörrbire Hutzel, au Hutzelwiib, en alti Frau mit runzlige Hut Hutzel, en Tannzapfe Hutzelbrot, e schwäbisch-alemannischi Spezialität S Stuegerter Hutzelmännle, a Märle vom Eduard Mörike Hutzel isch de Familiename vo däne Persone: Andreas Hutzel (* 1968), en dütsche Schauspiiler us Schorndorf",374,als,"['Hutzel kann folgendes bedeuten: Hutzel, ein Synonym für eine Hutzel, Kletze, Holz- oder Dörrbirne, auch Hutzelweib, eine alte Frau mit runzliger Haut, Hutzel, ein Tannenzapfen, Hutzelbrot, eine schwäbisch-alemannische Spezialität, der Stuttgarter Hutzelmännle, ein Märchen von Eduard Mörike. Hutzel ist der Familienname folgender Personen: Andreas Hutzel (* 1968), ein deutscher Schauspieler aus Schorndorf.']"
17,59662,"Schüpfheim oder Schüpfe chan folgendes bedüte: Schüpfheim LU, im Tialäkt Schüpfe, isch e politischi Gmeind im Äntlibuech, Kanton Lozärn, Schwiz Schüpfheim ZH, isch es Dorf (und ehemolegi Gmaind) i de politische Gmaind Stadel im Kanton Züri, Schwiz Schüpfen, im Tialäkt Schüpfe, isch e politischi Gmeind im Seeland, Kanton Bärn, Schwiz schüpfe isch en anders Wort för «schupfe», «pütsche», «putsche», «stoosse» usw.",414,als,"['Schüpfheim oder Schüpfe kann folgendes bedeuten: Schüpfheim LU, im Dialekt Schüpfe, ist eine politische Gemeinde im Entlebuch, Kanton Luzern, Schweiz. Schüpfheim ZH ist ein Dorf (und ehemalige Gemeinde) in der politischen Gemeinde Stadel im Kanton Zürich, Schweiz. Schüpfen, im Dialekt Schüpfe, ist eine politische Gemeinde im Seeland, Kanton Bern, Schweiz. Schüpfe ist ein anderes Wort für ""schubsen"", ""stoßen"", ""drücken"" usw.']"
18,3891,"I de Liste vo de Schwizer Seeje sy Seeje mit erer Flächi vo über 1 km² sortiert ufglischtet. Es zellt di gsammti Flächi vom See, also au wänn er nöd ganz i de Schwiz isch. D Rekordzahle sy jewyls fett aggää. D Spycherseeje sy hier nid ufgfüert. * dient au als Stausee Lischte vo de Stauseeje ir Schwiz",301,als,"['In der Liste der Schweizer Seen sind Seen mit einer Fläche von über 1 km² sortiert aufgelistet. Es zählt die gesamte Fläche des Sees, auch wenn er nicht ganz in der Schweiz ist. Die Rekordzahlen sind jeweils fett angegeben. Die Speicherseen sind hier nicht aufgeführt. * dient auch als Stausee Liste der Stauseen in der Schweiz.']"
19,92307,"S erscht Turnier um dr Henri-Delaunay-Pokal isch vum 6. bis 10. Juli 1960 as European Nations' Cup (dt. Europapokal der Nationen) z Frankrych uusdrait wore. Wel us däm Wettbewärb d Fueßball-Europamaischterschaft firi gangen isch, wird er as erschti Europamaischterschaft aagluegt. Im Finale het d Sowjetunion mit 2:1 n. V. (1:1, 0:1) gege Jugoslawie gwunne. Euro 1960 uf uefa.com Info zum Turnier uf rsssf.org",409,als,"[""Das erste Turnier um den Henri-Delaunay-Pokal wurde vom 6. bis 10. Juli 1960 als European Nations' Cup (dt. Europapokal der Nationen) in Frankreich ausgetragen. Weil aus diesem Wettbewerb die Fußball-Europameisterschaft hervorging, wird er als erste Europameisterschaft angesehen. Im Finale gewann die Sowjetunion mit 2:1 n. V. (1:1, 0:1) gegen Jugoslawien. Euro 1960 auf uefa.com Info zum Turnier auf rsssf.org""]"
20,86908,"S Kabinett Söder I isch vum 21. Merz bis zum 12. Novämber 2018 d Staatsregierig vum Freistaat Bayern gsii. Wu dr Horst Seehofer am 13. Merz 2018 vum Amt as Minischterbresidänt zrufggdrätte un as Bundesinneminischter in s Kabinett Merkel IV yydrätten isch, isch dr Markus Söder am 16. Merz 2018 sy Noofolger wore. www.bayern.de: Kabinett Dr Markus Söder (2018) 2013 2018 - Der Bayernplan (csu.de)",395,als,"['Das Kabinett Söder I war vom 21. März bis zum 12. November 2018 die Staatsregierung des Freistaats Bayern. Als Horst Seehofer am 13. März 2018 von seinem Amt als Ministerpräsident zurückgetreten und als Bundesinnenminister in das Kabinett Merkel IV eingetreten ist, wurde Markus Söder am 16. März 2018 sein Nachfolger. www.bayern.de: Kabinett Dr. Markus Söder (2018) 2013 2018 - Der Bayernplan (csu.de)']"
21,59992,"Buchrain isch de Name vo däne Ort: Buchrain LU (im örtliche Dialäkt «Bueri»), e politischi Gmeind im Kanton Lozärn, Schwiz Buchrain (Großkarolinenfeld), en Ortsteil vo de Gmeind Großkarolinenfeld, Landchreis Roseheim, Bayern Buchrain (Riekofen), en Ortsteil vo de Gmeind Riekofen, Landchreis Rägesburg, Bayern",309,als,"['Buchrain ist der Name folgender Orte: Buchrain LU (im lokalen Dialekt «Bueri»), eine politische Gemeinde im Kanton Luzern, Schweiz Buchrain (Großkarolinenfeld), ein Ortsteil der Gemeinde Großkarolinenfeld, Landkreis Rosenheim, Bayern Buchrain (Riekofen), ein Ortsteil der Gemeinde Riekofen, Landkreis Regensburg, Bayern']"
22,32758,"Die Liste zällt Näme vo Pflanze uuf, wo z Liachtastää bruucht weret. Abchörzige bidüütet: Hans Stricker et al.: Lichtensteiner Namenbuch. die Orts- und Flurnamen des Fürstentums Liechtenstein, Band 5 Lexikon; Vadoz 1999. ISBN 3-906393-25-9 P.A. Schaedler: Einiges über die Mundart der Talgemeinden Liechtensteins; 1915 Hans Heinrich Bosshard: Mundartnamen von Bäumen und Sträuchern; Züri, 1978 Vorarlberger Sprachatlas (VALTS) Alemannischi Pflanzenäme Liachtastääner Tiernäme",475,als,"['Die Liste zählt Namen von Pflanzen auf, die in Liechtenstein verwendet werden. Abkürzungen bedeuten: Hans Stricker et al.: Lichtensteiner Namenbuch. Die Orts- und Flurnamen des Fürstentums Liechtenstein, Band 5 Lexikon; Vaduz 1999. ISBN 3-906393-25-9 P.A. Schaedler: Einiges über die Mundart der Talgemeinden Liechtensteins; 1915 Hans Heinrich Bosshard: Mundartnamen von Bäumen und Sträuchern; Zürich, 1978 Vorarlberger Sprachatlas (VALTS) Alemannische Pflanzennamen Liechtensteiner Tiernamen.']"
23,40287,Dr Kanton Locminé isch bis 2015 e Kanton im Arrondissement Pontivy im franzesische Département Morbihan in dr Region Bretagne gsii. Dr Hauptort isch Locminé gsii. Verdrätter im conseil général vum Département isch bis 2015 dr Gérard Lorgeoux (RPR dann UMP) gsii gsii. Zum 22. Merz 2015 isch dr Kanton ufglest wore. Zum Kanton hän acht Gmaine ghert:,348,als,"['Der Kanton Locminé war bis 2015 ein Kanton im Arrondissement Pontivy im französischen Département Morbihan in der Region Bretagne. Der Hauptort war Locminé. Vertreter im Generalrat des Départements war bis 2015 Gérard Lorgeoux (RPR, dann UMP). Zum 22. März 2015 wurde der Kanton aufgelöst. Zum Kanton gehörten acht Gemeinden:']"
24,82615,"Die Lischt git en Iberblick iber alli Mitglider vum 17. bade-wirttembergische Landdag (2021–2026) mit Fraktionszuegherigkait, Wahlkrais un Stimmenaadail. Dr 17. Landdag isch am 14. Merz 2021 gwehlt wore. No dr Landdagswahl 2021 setzt si dr Landdag eso zämme: Inhaltsverzeichnis A B C D E F G H I J K L M N O P Q R S T U V W X Y Z Lischt vu dr gwehlte Abgordnete noch em vorlaifige Ergebnis uf dr Homepage vu dr Landeszentrale für politische Bildung Baden-Württemberg",466,als,"['Die Liste gibt einen Überblick über alle Mitglieder des 17. baden-württembergischen Landtags (2021–2026) mit Fraktionszugehörigkeit, Wahlkreis und Stimmenanteil. Der 17. Landtag wurde am 14. März 2021 gewählt. Nach der Landtagswahl 2021 setzt sich der Landtag wie folgt zusammen: Inhaltsverzeichnis A B C D E F G H I J K L M N O P Q R S T U V W X Y Z Liste der gewählten Abgeordneten nach dem vorläufigen Ergebnis auf der Homepage der Landeszentrale für politische Bildung Baden-Württemberg.']"
25,72487,"D Communauté de communes Haut Chemin-Pays de Pange ìsch a Kommünàlverbànd ìm Moselle (Frànkrìch). Sa ìsch zum 1. Janner 2017 grìnda worra üs dr Füsion vu dr Kommünàlverbànd Communauté de communes du Haut Chemin un Communauté de communes du Pays de Pange. Zum Kommünàlverbànd gheera 28 Gmeina. Dr Hauiptort vum Verbànd ìsch Pange, Präsidant ìsch dr Roland Chloup. www.collectivites-locales.gouv.fr",396,als,"['Die Communauté de communes Haut Chemin-Pays de Pange ist ein Kommunalverband im Moselle (Frankreich). Sie ist zum 1. Januar 2017 gegründet worden aus der Fusion der Kommunalverbände Communauté de communes du Haut Chemin und Communauté de communes du Pays de Pange. Zum Kommunalverband gehören 28 Gemeinden. Der Hauptsitz des Verbandes ist Pange, Präsident ist Roland Chloup. www.collectivites-locales.gouv.fr']"
26,72057,Dr Kanton Colmer-1 ìsch a Kanton ìm Owerelsàss ìn dr Region Grand Est z Frànkrich. Hauiptort (frz. bureau centralisateur) vum Kànton ìsch Colmer. Dr Kanton isch zem 22. März 2015 nej grinda worra. Zem Kànton gheere d Gmeind Ìngersche un a Teil vu Colmer. Dekret Nr. 2014-207 vom frànzeesche Ìnnaminischterium fìr d Nejgstàltung vu Kanton im Département Haut-Rhin Kanton im Département Owerelsass (Haut-Rhin),407,als,"['Der Kanton Colmar-1 ist ein Kanton im Oberelsass in der Region Grand Est in Frankreich. Hauptort (frz. bureau centralisateur) des Kantons ist Colmar. Der Kanton wurde am 22. März 2015 neu gegründet. Zum Kanton gehören die Gemeinde Ingersheim und ein Teil von Colmar. Dekret Nr. 2014-207 des französischen Innenministeriums für die Neugestaltung der Kantone im Département Haut-Rhin, Kanton im Département Oberelsass (Haut-Rhin).']"
27,24871,"Neuenstein isch dr Name vu däne Ortschafte: Neuenstein, Stadt im Hohenlohekreis z Bade-Wirttebärg Neuenstein (Hessen), Gmei im Landchreis Hersfeld-Rotenburg z Hesse Neuenstein isch dr Name vu däne Burge: Burg Neuestei, Burgruine bi Badewyyler im Landchreis Bryysgau-Hochschwarzwald z Bade-Wirttebärg Burg Nejestei, Burgruine bi Lütebach-Huebacker im Ortenaukreis z Bade-Wirttebärg Burg Neuenstein, Burg bi Neuenstein-Saasen im Landchreis Hersfeld-Rotenburg z Hesse",464,als,"['Neuenstein ist der Name folgender Ortschaften: Neuenstein, Stadt im Hohenlohekreis in Baden-Württemberg Neuenstein (Hessen), Gemeinde im Landkreis Hersfeld-Rotenburg in Hessen Neuenstein ist der Name folgender Burgen: Burg Neuenstein, Burgruine bei Badewiller im Landkreis Breisgau-Hochschwarzwald in Baden-Württemberg Burg Neuenstein, Burgruine bei Lütebach-Huebacher im Ortenaukreis in Baden-Württemberg Burg Neuenstein, Burg bei Neuenstein-Saasen im Landkreis Hersfeld-Rotenburg in Hessen']"
28,86894,S Kabinett Streibl I isch vum 19. Oktober 1988 bis zum 30. Oktober 1990 d Staatsregierig vum Freistaat Bayern gsii. Noch em Dod vum Franz Josef Strauß am 3. Oktober 1988 isch dr Max Streibl sy Noofolger wore. Peter Jakob Kock: Der Bayerische Landtag. Eine Chronik. Hrsg. vom Bayerischen Landtag. 7. aktualisierte Auflage. München 2016 (Online) www.bayern.de: Kabinett Dr. h. c. Max Streibl (1988 bis 1990),405,als,['Das Kabinett Streibl I war vom 19. Oktober 1988 bis zum 30. Oktober 1990 die Staatsregierung des Freistaates Bayern. Nach dem Tod von Franz Josef Strauß am 3. Oktober 1988 wurde Max Streibl sein Nachfolger. Peter Jakob Kock: Der Bayerische Landtag. Eine Chronik. Hrsg. vom Bayerischen Landtag. 7. aktualisierte Auflage. München 2016 (Online) www.bayern.de: Kabinett Dr. h. c. Max Streibl (1988 bis 1990)']
29,37780,"D Communauté de communes du Val Saint-Pierre isch e Kommunalverband im franzesische Département Moselle gsii, wu vier Gmaine im Kanton Verny im Arrondissement Metz-Campagne aaghert hän. Är isch am 3. Novämber 1994 grindet wore. Sitz vum Verband isch Peltre gsii, Presidänt dr Michel Bonnetier. Im Johr 1999 hän d Gmaine zämme 4.498 Yywohner uf 28 km² ghaa. Zum Kommunalverband hän die Gmaine ghert: Peltre Mécleuves Jury Chesny www.valstpierre.fr",446,als,"['Die Communauté de communes du Val Saint-Pierre war ein Kommunalverband im französischen Département Moselle, dem vier Gemeinden im Kanton Verny im Arrondissement Metz-Campagne angehörten. Er wurde am 3. November 1994 gegründet. Sitz des Verbandes war Peltre, Präsident war Michel Bonnetier. Im Jahr 1999 hatten die Gemeinden zusammen 4.498 Einwohner auf 28 km². Zum Kommunalverband gehörten die Gemeinden: Peltre, Mécleuves, Jury und Chesny.']"
30,8268,"Dä EV Zug isch en schwizerischä Iishockeyclub us Zug. EVZ isch d Abchürzig für dä volli Namä «Eissportverein Zug». Dä EV Zug hät au ä erfolgrichi Frauämannschaft, wo scho viermol Schwizer Meister worde isch, und am IIHF European Women's Champions Cup teilgno hät. Spruch: Ei Stadt, Ei Liebi, EVZ Clubsite EV Zug",311,als,"[""Der EV Zug ist ein Schweizer Eishockeyclub aus Zug. EVZ ist die Abkürzung für den vollen Namen «Eissportverein Zug». Der EV Zug hat auch eine erfolgreiche Frauenmannschaft, die schon viermal Schweizer Meister wurde und am IIHF European Women's Champions Cup teilgenommen hat. Motto: Ein Stadt, Ein Liebe, EVZ, Clubsite EV Zug.""]"
